date,ticker,roe,pe_ratio,pe,momentum,trend
2000-01-31,ADEL,,,,,
2000-01-31,AEFES,,,,,
2000-01-31,AKBNK,,,,,
2000-01-31,AKCNS,,,,,
2000-01-31,AKENR,,,,,
2000-01-31,AKGRT,,,,,
2000-01-31,AKSA,,,,,
2000-01-31,AKSEN,,,,,
2000-01-31,ALARK,,,,,
2000-01-31,ALBRK,,,,,
2000-01-31,ALKIM,,,,,
2000-01-31,ANELE,,,,,
2000-01-31,ANHYT,,,,,
2000-01-31,ANSGR,,,,,
2000-01-31,ARCLK,,,,,
2000-01-31,ASELS,,,,,
2000-01-31,AYGAZ,,,,,
2000-01-31,BAGFS,,,,,
2000-01-31,BANVT,,,,,
2000-01-31,BIMAS,,,,,
2000-01-31,BIZIM,,,,,
2000-01-31,BRISA,,,,,
2000-01-31,BRSAN,,,,,
2000-01-31,CCOLA,,,,,
2000-01-31,CIMSA,,,,,
2000-01-31,CLEBI,,,,,
2000-01-31,DOAS,,,,,
2000-01-31,DOCO,,,,,
2000-01-31,DOHOL,,,,,
2000-01-31,ECILC,,,,,
2000-01-31,EKGYO,,,,,
2000-01-31,ENKAI,,,,,
2000-01-31,EREGL,,,,,
2000-01-31,FROTO,,,,,
2000-01-31,GARAN,,,,,
2000-01-31,GOZDE,,,,,
2000-01-31,GUBRF,,,,,
2000-01-31,HALKB,,,,,
2000-01-31,HURGZ,,,,,
2000-01-31,INDES,,,,,
2000-01-31,ISCTR,,,,,
2000-01-31,ISGYO,,,,,
2000-01-31,IZMDC,,,,,
2000-01-31,KCHOL,,,,,
2000-01-31,KORDS,,,,,
2000-01-31,KRDMD,,,,,
2000-01-31,MGROS,,,,,
2000-01-31,NTHOL,,,,,
2000-01-31,OTKAR,,,,,
2000-01-31,PETKM,,,,,
2000-01-31,PGSUS,,,,,
2000-01-31,SAHOL,,,,,
2000-01-31,SELEC,,,,,
2000-01-31,SISE,,,,,
2000-01-31,SKBNK,,,,,
2000-01-31,SNGYO,,,,,
2000-01-31,TAVHL,,,,,
2000-01-31,TCELL,,,,,
2000-01-31,THYAO,,,,,
2000-01-31,TKFEN,,,,,
2000-01-31,TKNSA,,,,,
2000-01-31,TMSN,,,,,
2000-01-31,TOASO,,,,,
2000-01-31,TRCAS,,,,,
2000-01-31,TRGYO,,,,,
2000-01-31,TSKB,,,,,
2000-01-31,TTKOM,,,,,
2000-01-31,TTRAK,,,,,
2000-01-31,TUPRS,,,,,
2000-01-31,ULKER,,,,,
2000-01-31,VAKBN,,,,,
2000-01-31,VESTL,,,,,
2000-01-31,YKBNK,,,,,
2000-02-29,ADEL,,,,,
2000-02-29,AEFES,,,,,
2000-02-29,AKBNK,,,,,
2000-02-29,AKCNS,,,,,
2000-02-29,AKENR,,,,,
2000-02-29,AKGRT,,,,,
2000-02-29,AKSA,,,,,
2000-02-29,AKSEN,,,,,
2000-02-29,ALARK,,,,,
2000-02-29,ALBRK,,,,,
2000-02-29,ALKIM,,,,,
2000-02-29,ANELE,,,,,
2000-02-29,ANHYT,,,,,
2000-02-29,ANSGR,,,,,
2000-02-29,ARCLK,,,,,
2000-02-29,ASELS,,,,,
2000-02-29,AYGAZ,,,,,
2000-02-29,BAGFS,,,,,
2000-02-29,BANVT,,,,,
2000-02-29,BIMAS,,,,,
2000-02-29,BIZIM,,,,,
2000-02-29,BRISA,,,,,
2000-02-29,BRSAN,,,,,
2000-02-29,CCOLA,,,,,
2000-02-29,CIMSA,,,,,
2000-02-29,CLEBI,,,,,
2000-02-29,DOAS,,,,,
2000-02-29,DOCO,,,,,
2000-02-29,DOHOL,,,,,
2000-02-29,ECILC,,,,,
2000-02-29,EKGYO,,,,,
2000-02-29,ENKAI,,,,,
2000-02-29,EREGL,,,,,
2000-02-29,FROTO,,,,,
2000-02-29,GARAN,,,,,
2000-02-29,GOZDE,,,,,
2000-02-29,GUBRF,,,,,
2000-02-29,HALKB,,,,,
2000-02-29,HURGZ,,,,,
2000-02-29,INDES,,,,,
2000-02-29,ISCTR,,,,,
2000-02-29,ISGYO,,,,,
2000-02-29,IZMDC,,,,,
2000-02-29,KCHOL,,,,,
2000-02-29,KORDS,,,,,
2000-02-29,KRDMD,,,,,
2000-02-29,MGROS,,,,,
2000-02-29,NTHOL,,,,,
2000-02-29,OTKAR,,,,,
2000-02-29,PETKM,,,,,
2000-02-29,PGSUS,,,,,
2000-02-29,SAHOL,,,,,
2000-02-29,SELEC,,,,,
2000-02-29,SISE,,,,,
2000-02-29,SKBNK,,,,,
2000-02-29,SNGYO,,,,,
2000-02-29,TAVHL,,,,,
2000-02-29,TCELL,,,,,
2000-02-29,THYAO,,,,,
2000-02-29,TKFEN,,,,,
2000-02-29,TKNSA,,,,,
2000-02-29,TMSN,,,,,
2000-02-29,TOASO,,,,,
2000-02-29,TRCAS,,,,,
2000-02-29,TRGYO,,,,,
2000-02-29,TSKB,,,,,
2000-02-29,TTKOM,,,,,
2000-02-29,TTRAK,,,,,
2000-02-29,TUPRS,,,,,
2000-02-29,ULKER,,,,,
2000-02-29,VAKBN,,,,,
2000-02-29,VESTL,,,,,
2000-02-29,YKBNK,,,,,
2000-03-31,ADEL,,,,,
2000-03-31,AEFES,,,,,
2000-03-31,AKBNK,,,,,
2000-03-31,AKCNS,,,,,
2000-03-31,AKENR,,,,,
2000-03-31,AKGRT,,,,,
2000-03-31,AKSA,,,,,
2000-03-31,AKSEN,,,,,
2000-03-31,ALARK,,,,,
2000-03-31,ALBRK,,,,,
2000-03-31,ALKIM,,,,,
2000-03-31,ANELE,,,,,
2000-03-31,ANHYT,,,,,
2000-03-31,ANSGR,,,,,
2000-03-31,ARCLK,,,,,
2000-03-31,ASELS,,,,,
2000-03-31,AYGAZ,,,,,
2000-03-31,BAGFS,,,,,
2000-03-31,BANVT,,,,,
2000-03-31,BIMAS,,,,,
2000-03-31,BIZIM,,,,,
2000-03-31,BRISA,,,,,
2000-03-31,BRSAN,,,,,
2000-03-31,CCOLA,,,,,
2000-03-31,CIMSA,,,,,
2000-03-31,CLEBI,,,,,
2000-03-31,DOAS,,,,,
2000-03-31,DOCO,,,,,
2000-03-31,DOHOL,,,,,
2000-03-31,ECILC,,,,,
2000-03-31,EKGYO,,,,,
2000-03-31,ENKAI,,,,,
2000-03-31,EREGL,,,,,
2000-03-31,FROTO,,,,,
2000-03-31,GARAN,,,,,
2000-03-31,GOZDE,,,,,
2000-03-31,GUBRF,,,,,
2000-03-31,HALKB,,,,,
2000-03-31,HURGZ,,,,,
2000-03-31,INDES,,,,,
2000-03-31,ISCTR,,,,,
2000-03-31,ISGYO,,,,,
2000-03-31,IZMDC,,,,,
2000-03-31,KCHOL,,,,,
2000-03-31,KORDS,,,,,
2000-03-31,KRDMD,,,,,
2000-03-31,MGROS,,,,,
2000-03-31,NTHOL,,,,,
2000-03-31,OTKAR,,,,,
2000-03-31,PETKM,,,,,
2000-03-31,PGSUS,,,,,
2000-03-31,SAHOL,,,,,
2000-03-31,SELEC,,,,,
2000-03-31,SISE,,,,,
2000-03-31,SKBNK,,,,,
2000-03-31,SNGYO,,,,,
2000-03-31,TAVHL,,,,,
2000-03-31,TCELL,,,,,
2000-03-31,THYAO,,,,,
2000-03-31,TKFEN,,,,,
2000-03-31,TKNSA,,,,,
2000-03-31,TMSN,,,,,
2000-03-31,TOASO,,,,,
2000-03-31,TRCAS,,,,,
2000-03-31,TRGYO,,,,,
2000-03-31,TSKB,,,,,
2000-03-31,TTKOM,,,,,
2000-03-31,TTRAK,,,,,
2000-03-31,TUPRS,,,,,
2000-03-31,ULKER,,,,,
2000-03-31,VAKBN,,,,,
2000-03-31,VESTL,,,,,
2000-03-31,YKBNK,,,,,
2000-04-30,ADEL,,,,,
2000-04-30,AEFES,,,,,
2000-04-30,AKBNK,,,,,
2000-04-30,AKCNS,,,,,
2000-04-30,AKENR,,,,,
2000-04-30,AKGRT,,,,,
2000-04-30,AKSA,,,,,
2000-04-30,AKSEN,,,,,
2000-04-30,ALARK,,,,,
2000-04-30,ALBRK,,,,,
