ticker,start,end,observations
ADEL,2000-05-10,2026-05-26,6697
AEFES,2000-05-10,2026-05-26,6697
AKBNK,2000-05-10,2026-05-26,6696
AKCNS,2000-05-10,2026-05-26,6696
AKENR,2000-07-07,2026-05-26,6654
AKGRT,2000-05-10,2026-05-26,6696
AKSA,2000-05-10,2026-05-26,6697
AKSEN,2010-05-21,2026-05-26,4108
ALARK,2000-05-10,2026-05-26,6696
ALBRK,2007-06-29,2026-05-26,4840
ALKIM,2001-03-01,2026-05-26,6486
ANELE,2010-06-16,2026-05-26,4090
ANHYT,2000-05-10,2026-05-26,6696
ANSGR,2000-05-10,2026-05-26,6697
ARCLK,2000-05-10,2026-05-26,6696
ASELS,2000-05-10,2026-05-26,6696
AYGAZ,2000-05-10,2026-05-26,6696
BAGFS,2000-05-10,2026-05-26,6696
BANVT,2000-05-10,2026-05-26,6696
BIMAS,2005-07-22,2026-05-26,5342
BIZIM,2011-02-03,2026-05-26,3924
BRISA,2000-05-10,2026-05-26,6696
BRSAN,2000-05-10,2026-05-26,6696
CCOLA,2000-05-10,2026-05-26,6697
CIMSA,2000-05-10,2026-05-26,6696
CLEBI,2000-05-10,2026-05-26,6696
DOAS,2004-06-17,2026-05-26,5625
DOCO,2010-12-02,2026-05-26,3969
DOHOL,2000-05-10,2026-05-26,6696
ECILC,2000-05-10,2026-05-26,6696
EKGYO,2010-12-02,2026-05-26,3969
ENKAI,2002-07-29,2026-05-26,6118
EREGL,2000-05-10,2026-05-26,6697
FROTO,2000-05-10,2026-05-26,6697
GARAN,2000-05-10,2026-05-26,6696
GOZDE,2011-08-01,2026-05-26,3797
GUBRF,2000-05-10,2026-05-26,6696
HALKB,2007-05-11,2026-05-26,4875
HURGZ,2000-05-10,2026-05-26,6696
INDES,2004-06-28,2026-05-26,5618
ISCTR,2007-12-31,2026-05-26,4713
ISGYO,2000-05-10,2026-05-26,6696
IZMDC,2000-05-10,2026-05-26,6696
KCHOL,2000-05-10,2026-05-26,6696
KORDS,2000-05-10,2026-05-26,6696
KRDMD,2000-05-10,2026-05-26,6696
MGROS,2000-05-10,2026-05-26,6696
NTHOL,2000-05-10,2026-05-26,6696
OTKAR,2000-05-10,2026-05-26,6694
PETKM,2000-05-10,2026-05-26,6696
PGSUS,2013-04-26,2026-05-26,3283
SAHOL,2000-05-10,2026-05-26,6696
SELEC,2006-04-26,2026-05-26,5141
SISE,2000-05-10,2026-05-26,6696
SKBNK,2000-05-10,2026-05-26,6696
SNGYO,2007-06-22,2026-05-26,4846
TAVHL,2007-02-26,2026-05-26,4928
TCELL,2000-07-12,2026-05-26,6651
THYAO,2000-05-10,2026-05-26,6696
TKFEN,2007-11-23,2026-05-26,4738
TKNSA,2012-05-17,2026-05-26,3589
TMSN,2013-07-23,2026-05-26,3281
TOASO,2000-05-10,2026-05-26,6696
TRCAS,2000-05-10,2026-05-26,6696
TRGYO,2010-10-21,2026-05-26,3999
TSKB,2000-05-10,2026-05-26,6696
TTKOM,2008-05-15,2026-05-26,4617
TTRAK,2004-06-11,2026-05-26,5629
TUPRS,2000-05-10,2026-05-26,6696
ULKER,2004-02-25,2026-05-26,5706
VAKBN,2005-11-21,2026-05-26,5253
VESTL,2000-05-10,2026-05-26,6696
XBANK,2000-01-04,2026-05-26,6595
XU030,2000-01-04,2026-05-26,6595
XU100,2000-01-04,2026-05-26,6603
XUSIN,2000-01-04,2026-05-26,6595
YKBNK,2000-05-10,2026-05-26,6696
