ticker,yahoo_symbol,role
XU100,XU100.IS,index
XU030,XU030.IS,index
XBANK,XBANK.IS,index
XUSIN,XUSIN.IS,index
AKBNK,AKBNK.IS,stock
GARAN,GARAN.IS,stock
ISCTR,ISCTR.IS,stock
VAKBN,VAKBN.IS,stock
HALKB,HALKB.IS,stock
YKBNK,YKBNK.IS,stock
TSKB,TSKB.IS,stock
SKBNK,SKBNK.IS,stock
ALBRK,ALBRK.IS,stock
AKGRT,AKGRT.IS,stock
ANHYT,ANHYT.IS,stock
ANSGR,ANSGR.IS,stock
EREGL,EREGL.IS,stock
KRDMD,KRDMD.IS,stock
IZMDC,IZMDC.IS,stock
PETKM,PETKM.IS,stock
TUPRS,TUPRS.IS,stock
AYGAZ,AYGAZ.IS,stock
AKENR,AKENR.IS,stock
AKSEN,AKSEN.IS,stock
ALKIM,ALKIM.IS,stock
TOASO,TOASO.IS,stock
FROTO,FROTO.IS,stock
DOAS,DOAS.IS,stock
TTRAK,TTRAK.IS,stock
TMSN,TMSN.IS,stock
OTKAR,OTKAR.IS,stock
TTKOM,TTKOM.IS,stock
TCELL,TCELL.IS,stock
ARCLK,ARCLK.IS,stock
VESTL,VESTL.IS,stock
BIZIM,BIZIM.IS,stock
BIMAS,BIMAS.IS,stock
MGROS,MGROS.IS,stock
ULKER,ULKER.IS,stock
GOZDE,GOZDE.IS,stock
AEFES,AEFES.IS,stock
CCOLA,CCOLA.IS,stock
THYAO,THYAO.IS,stock
PGSUS,PGSUS.IS,stock
TAVHL,TAVHL.IS,stock
DOCO,DOCO.IS,stock
SAHOL,SAHOL.IS,stock
KCHOL,KCHOL.IS,stock
TKFEN,TKFEN.IS,stock
ENKAI,ENKAI.IS,stock
DOHOL,DOHOL.IS,stock
SISE,SISE.IS,stock
TRKCM,TRKCM.IS,stock
ANACM,ANACM.IS,stock
SODA,SODA.IS,stock
TRGYO,TRGYO.IS,stock
ISGYO,ISGYO.IS,stock
EKGYO,EKGYO.IS,stock
SNGYO,SNGYO.IS,stock
AKFEN,AKFEN.IS,stock
ALARK,ALARK.IS,stock
ASELS,ASELS.IS,stock
YAZIC,YAZIC.IS,stock
NTHOL,NTHOL.IS,stock
GUBRF,GUBRF.IS,stock
CIMSA,CIMSA.IS,stock
ECILC,ECILC.IS,stock
AKSA,AKSA.IS,stock
ADEL,ADEL.IS,stock
TRCAS,TRCAS.IS,stock
CLEBI,CLEBI.IS,stock
BAGFS,BAGFS.IS,stock
AKCNS,AKCNS.IS,stock
ANELE,ANELE.IS,stock
BANVT,BANVT.IS,stock
BMEKS,BMEKS.IS,stock
BOLUC,BOLUC.IS,stock
BRISA,BRISA.IS,stock
BRSAN,BRSAN.IS,stock
HURGZ,HURGZ.IS,stock
INDES,INDES.IS,stock
KORDS,KORDS.IS,stock
SELEC,SELEC.IS,stock
TKNSA,TKNSA.IS,stock
