ticker,yahoo_symbol,long_name,currency,quote_type,trailing_pe_snapshot,forward_pe_snapshot,roe_snapshot,market_cap_snapshot,snapshot_downloaded_at
AKBNK,AKBNK.IS,Akbank T.A.S.,TRY,EQUITY,5.311203,3.6613274,0.22963,332800000000.0,2026-05-28T20:46:27
GARAN,GARAN.IS,Turkiye Garanti Bankasi A.S.,TRY,EQUITY,4.37834,3.6317968,0.30111998,516180017152.0,2026-05-28T20:46:29
ISCTR,ISCTR.IS,Türkiye Is Bankasi A.S.,TRY,EQUITY,4.308197,2.596838,0.22368999,328499986432.0,2026-05-28T20:46:32
VAKBN,VAKBN.IS,Türkiye Vakiflar Bankasi Türk Anonim Ortakligi,TRY,EQUITY,4.010403,5.536804,0.25109,305807032320.0,2026-05-28T20:46:34
HALKB,HALKB.IS,Türkiye Halk Bankasi A.S.,TRY,EQUITY,10.0,9.439462,0.15443,302479147008.0,2026-05-28T20:46:36
YKBNK,YKBNK.IS,Yapi ve Kredi Bankasi A.S.,TRY,EQUITY,5.942652,3.4942045,0.23477,280104206336.0,2026-05-28T20:46:39
TSKB,TSKB.IS,Türkiye Sinai Kalkinma Bankasi A.S.,TRY,EQUITY,2.7425742,3.3173654,0.32858002,31023998976.0,2026-05-28T20:46:42
SKBNK,SKBNK.IS,Sekerbank T.A.S.,TRY,EQUITY,11.353449,,0.14127,32924999680.0,2026-05-28T20:46:44
ALBRK,ALBRK.IS,Albaraka Türk Katilim Bankasi A.S.,TRY,EQUITY,2.4060607,4.2688174,0.33078998,19850000384.0,2026-05-28T20:46:48
AKGRT,AKGRT.IS,Aksigorta A.S.,TRY,EQUITY,4.662338,6.1896553,0.36301997,11574159360.0,2026-05-28T20:46:51
ANHYT,ANHYT.IS,Anadolu Hayat Emeklilik Anonim Sirketi,TRY,EQUITY,6.719577,6.0584373,0.65801,43687997440.0,2026-05-28T20:46:54
ANSGR,ANSGR.IS,Anadolu Anonim Türk Sigorta Sirketi,TRY,EQUITY,4.487725,0.9824436,0.50983,54840000512.0,2026-05-28T20:46:57
EREGL,EREGL.IS,Eregli Demir ve Çelik Fabrikalari T.A.S.,TRY,EQUITY,559.7143,6.3603897,0.0023100001,263363100672.0,2026-05-28T20:46:59
KRDMD,KRDMD.IS,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.S.,TRY,EQUITY,158.96,449.03955,0.00382,45303603200.0,2026-05-28T20:47:02
IZMDC,IZMDC.IS,Izmir Demir Çelik Sanayi Anonim Sirketi,TRY,EQUITY,,,-0.06039,11295000576.0,2026-05-28T20:47:04
PETKM,PETKM.IS,Petkim Petrokimya Holding Anonim Sirketi,TRY,EQUITY,,5.2870817,-0.102589995,56010240000.0,2026-05-28T20:47:07
TUPRS,TUPRS.IS,Türkiye Petrol Rafinerileri A.S.,TRY,EQUITY,13.756552,11.388621,0.103719994,455109115904.0,2026-05-28T20:47:09
AYGAZ,AYGAZ.IS,Aygaz A.S.,TRY,EQUITY,10.206185,17.204924,0.05678,52224663552.0,2026-05-28T20:47:12
AKENR,AKENR.IS,Akenerji Elektrik Üretim A.S.,TRY,EQUITY,,-13.042554,-0.34507,8939550720.0,2026-05-28T20:47:15
AKSEN,AKSEN.IS,Aksa Enerji Üretim A.S.,TRY,EQUITY,13.377927,14.4404335,0.07406,98107056128.0,2026-05-28T20:47:17
ALKIM,ALKIM.IS,Alkim Alkali Kimya A.S.,TRY,EQUITY,,,-0.11055,5295000064.0,2026-05-28T20:47:20
TOASO,TOASO.IS,Tofas Türk Otomobil Fabrikasi Anonim Sirketi,TRY,EQUITY,12.836081,9.334595,0.22183001,147999997952.0,2026-05-28T20:47:23
FROTO,FROTO.IS,Ford Otomotiv Sanayi A.S.,TRY,EQUITY,9.519231,0.45825845,0.21429001,295290765312.0,2026-05-28T20:47:26
DOAS,DOAS.IS,Dogus Otomotiv Servis ve Ticaret A.S.,TRY,EQUITY,13.739778,1.7018143,0.0464,40655998976.0,2026-05-28T20:47:28
TTRAK,TTRAK.IS,Türk Traktör ve Ziraat Makineleri A.S.,TRY,EQUITY,,3.9280405,-0.072569996,44955045888.0,2026-05-28T20:47:31
TMSN,TMSN.IS,Tümosan Motor ve Traktör Sanayi A.S.,TRY,EQUITY,2.50953,,0.38684,11356250112.0,2026-05-28T20:47:34
OTKAR,OTKAR.IS,Otokar Otomotiv ve Savunma Sanayi A.S.,TRY,EQUITY,,16.291391,-0.30212,44280000512.0,2026-05-28T20:47:36
TTKOM,TTKOM.IS,Türk Telekomünikasyon Anonim Sirketi,TRY,EQUITY,8.017015,8.3107195,0.13071,214375006208.0,2026-05-28T20:47:39
TCELL,TCELL.IS,Turkcell Iletisim Hizmetleri A.S.,TRY,EQUITY,11.952663,8.054227,0.073460005,219820703744.0,2026-05-28T20:47:41
ARCLK,ARCLK.IS,Arçelik Anonim Sirketi,TRY,EQUITY,,6.7250323,-0.11971,68043366400.0,2026-05-28T20:47:44
VESTL,VESTL.IS,Vestel Elektronik Sanayi ve Ticaret Anonim Sirketi,TRY,EQUITY,,2.8252947,-0.6254,8842628096.0,2026-05-28T20:47:47
BIZIM,BIZIM.IS,Bizim Toptan Satis Magazalari A.S.,TRY,EQUITY,,-3.6073298,-1.5520301,2217920512.0,2026-05-28T20:47:49
BIMAS,BIMAS.IS,BIM Birlesik Magazalar A.S.,TRY,EQUITY,20.745274,7.013915,0.13429,442295943168.0,2026-05-28T20:47:51
MGROS,MGROS.IS,Migros Ticaret A.S.,TRY,EQUITY,16.259562,8.108773,0.09182,117362704384.0,2026-05-28T20:47:54
ULKER,ULKER.IS,Ülker Bisküvi Sanayi A.S.,TRY,EQUITY,12.953021,4.0278263,0.080579996,42762162176.0,2026-05-28T20:47:57
GOZDE,GOZDE.IS,Gozde Girisim Sermayesi Yatirim Ortakligi A.S.,TRY,EQUITY,,,-0.22162001,7384300032.0,2026-05-28T20:47:59
AEFES,AEFES.IS,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,TRY,EQUITY,13.129251,0.63195807,0.08141,114276311040.0,2026-05-28T20:48:02
CCOLA,CCOLA.IS,Coca-Cola Içecek Anonim Sirketi,TRY,EQUITY,12.686213,8.561498,0.21987,223986204672.0,2026-05-28T20:48:04
THYAO,THYAO.IS,Türk Hava Yollari Anonim Ortakligi,TRY,EQUITY,30.783194,4.1203833,0.15560001,407225106432.0,2026-05-28T20:48:07
PGSUS,PGSUS.IS,Pegasus Hava Tasimaciligi Anonim Sirketi,TRY,EQUITY,9.86087,4.692414,0.08795,85049999360.0,2026-05-28T20:48:09
TAVHL,TAVHL.IS,TAV Havalimanlari Holding A.S.,TRY,EQUITY,42.887566,12.581209,0.04101,91456053248.0,2026-05-28T20:48:12
DOCO,DOCO.IS,DO & CO Aktiengesellschaft,TRY,EQUITY,20.120525,24.586987,0.27811,112883785728.0,2026-05-28T20:48:14
SAHOL,SAHOL.IS,Haci Ömer Sabanci Holding A.S.,TRY,EQUITY,23.77261,3.3236995,0.024249999,190240817152.0,2026-05-28T20:48:16
KCHOL,KCHOL.IS,Koç Holding A.S.,TRY,EQUITY,19.677422,6.326531,0.03943,479369920512.0,2026-05-28T20:48:19
TKFEN,TKFEN.IS,Tekfen Holding Anonim Sirketi,TRY,EQUITY,,10.188133,-0.15544,51950133248.0,2026-05-28T20:48:22
ENKAI,ENKAI.IS,Enka Insaat ve Sanayi A.S.,TRY,EQUITY,16.448444,27.08895,0.11662,589205733376.0,2026-05-28T20:48:25
DOHOL,DOHOL.IS,Dogan Sirketler Grubu Holding A.S.,TRY,EQUITY,21.577982,336.0,0.0337,60509270016.0,2026-05-28T20:48:27
SISE,SISE.IS,Türkiye Sise Ve Cam Fabrikalari A.S.,TRY,EQUITY,12.1485405,4.312618,0.03601,137053569024.0,2026-05-28T20:48:30
TRKCM,TRKCM.IS,,,NONE,,,,,2026-05-28T20:48:32
ANACM,ANACM.IS,,,NONE,,,,,2026-05-28T20:48:34
SODA,SODA.IS,,,NONE,,,,,2026-05-28T20:48:36
