entry_date,exit_date,ticker,bars,pnl,pnl_net
2022-04-04,2023-04-04,ANSGR,249,223877.97575957343,223877.97575957343
2022-04-04,2023-04-04,BAGFS,249,67852.83607898623,67852.83607898623
2022-07-04,2023-04-04,DOCO,188,63188.031617993474,63188.031617993474
2022-04-04,2023-04-04,TCELL,249,52763.5921962062,52763.5921962062
2023-04-04,2023-05-03,FROTO,19,-9787.51337189977,-9787.51337189977
2023-04-04,2023-05-03,ISCTR,19,-11812.528532521617,-11812.528532521617
2023-04-04,2023-06-02,AYGAZ,40,-3783.6201061784245,-3783.6201061784245
2023-05-03,2023-07-04,AKCNS,40,50039.1993896521,50039.1993896521
2023-04-04,2023-07-04,ALARK,59,23440.293403606523,23440.293403606523
2023-07-04,2023-09-04,AYGAZ,43,33899.65929673077,33899.65929673077
2023-04-04,2023-09-04,THYAO,102,111619.07206621092,111619.07206621092
2023-04-04,2023-09-04,TOASO,102,49192.98942130155,49192.98942130155
2023-09-04,2023-10-03,ALARK,21,622.3243670528693,622.3243670528693
2023-07-04,2023-10-03,FROTO,64,14122.055520237285,14122.055520237285
2023-04-04,2023-10-03,MGROS,123,134261.99161711443,134261.99161711443
2023-04-04,2023-10-03,PGSUS,123,84591.22589111327,84591.22589111327
2023-09-04,2023-10-03,TKNSA,21,-695.8811798095703,-695.8811798095703
2023-10-03,2023-11-02,AYGAZ,22,-15635.736034518126,-15635.736034518126
2023-10-03,2023-11-02,ISCTR,22,-20662.309205174686,-20662.309205174686
2023-10-03,2023-12-04,AKCNS,44,-20312.89062017899,-20312.89062017899
2023-10-03,2023-12-04,ANHYT,44,-17616.330877412656,-17616.330877412656
2023-06-02,2024-01-03,CIMSA,148,90260.88340548753,90260.88340548753
2023-12-04,2024-01-03,FROTO,21,-8393.438096177819,-8393.438096177819
2023-11-02,2024-01-03,OTKAR,43,6527.091584735648,6527.091584735648
2023-12-04,2024-01-03,SKBNK,21,-40363.35207807097,-40363.35207807097
2024-01-03,2024-02-02,CCOLA,22,6703.188723938307,6703.188723938307
2023-05-03,2024-02-02,DOAS,191,151752.45504619693,151752.45504619693
2023-10-03,2024-02-02,TUPRS,87,-1334.7067842026563,-1334.7067842026563
2024-01-03,2024-03-04,AKBNK,43,10618.335077219352,10618.335077219352
2024-02-02,2024-03-04,AKCNS,21,-14641.628246097109,-14641.628246097109
2024-02-02,2024-03-04,BIMAS,21,1201.4880367481283,1201.4880367481283
2024-01-03,2024-04-02,GARAN,64,24518.7731577254,24518.7731577254
2023-11-02,2024-04-02,MGROS,107,20419.087070705256,20419.087070705256
2024-02-02,2024-04-02,TKNSA,42,-1619.8384552001773,-1619.8384552001773
2024-04-02,2024-05-03,DOAS,17,1284.860178595466,1284.860178595466
2024-03-04,2024-06-04,ANELE,60,14923.043266296387,14923.043266296387
2023-04-04,2024-06-04,BRSAN,291,400433.55153656006,400433.55153656006
2024-06-04,2024-07-02,ISCTR,17,-7271.708342049228,-7271.708342049228
2024-01-03,2024-07-02,YKBNK,120,72132.52569346075,72132.52569346075
2024-04-02,2024-08-02,AKENR,78,-16534.976177215576,-16534.976177215576
2023-04-04,2024-08-02,TTRAK,330,201481.69701187446,201481.69701187446
2024-08-02,2024-09-03,BIMAS,21,-8080.584736307464,-8080.584736307464
2024-03-04,2024-09-03,CCOLA,121,-89143.33063456969,-89143.33063456969
2024-07-02,2024-10-02,ULKER,64,-21054.81077201792,-21054.81077201792
2024-04-02,2024-11-04,AKBNK,142,3597.896804480252,3597.896804480252
2024-09-03,2024-11-04,YKBNK,43,-27276.481384277344,-27276.481384277344
2024-11-04,2024-12-03,PGSUS,21,-3452.297332763672,-3452.297332763672
2024-11-04,2024-12-03,TSKB,21,4145.825199297516,4145.825199297516
2024-10-02,2024-12-03,TTKOM,43,-6207.681869506821,-6207.681869506821
2024-07-02,2025-01-03,AEFES,129,-28128.115255710738,-28128.115255710738
2024-12-03,2025-02-04,SNGYO,44,-12114.598053455353,-12114.598053455353
2025-01-03,2025-02-04,YKBNK,22,-8111.519760131847,-8111.519760131847
2024-08-02,2025-03-04,BANVT,149,-16786.0,-16786.0
2024-12-03,2025-03-04,TRGYO,64,-6428.793929672817,-6428.793929672817
2024-12-03,2025-04-03,AKBNK,84,-11572.980053391282,-11572.980053391282
2024-09-03,2025-04-03,AKENR,148,-20582.457292556763,-20582.457292556763
2025-03-04,2025-04-03,ISCTR,20,-21092.40927942288,-21092.40927942288
2025-03-04,2025-04-03,PGSUS,20,-40.39630126954273,-40.39630126954273
2025-02-04,2025-04-03,TSKB,40,-19439.239515876354,-19439.239515876354
2025-02-04,2025-05-05,VAKBN,60,-19891.03913116455,-19891.03913116455
2024-05-03,2025-06-03,ANHYT,270,28027.573952214734,28027.573952214734
2025-05-05,2025-06-03,BANVT,20,-12228.605590820287,-12228.605590820287
2024-03-04,2025-07-02,CLEBI,327,43947.90353694161,43947.90353694161
2025-04-03,2025-08-04,CIMSA,81,8259.463597120048,8259.463597120048
2023-09-04,2025-09-02,ANSGR,500,140145.570580139,140145.570580139
2025-07-02,2025-09-02,SELEC,43,-6179.439417126543,-6179.439417126543
2025-04-03,2025-10-02,TKFEN,124,-35211.0293150341,-35211.0293150341
2025-09-02,2025-10-02,VAKBN,22,-7207.1997356414795,-7207.1997356414795
2024-06-04,2025-11-04,GARAN,354,28415.569141342316,28415.569141342316
2025-11-04,2025-12-02,ANHYT,20,-6008.74817227662,-6008.74817227662
2025-06-03,2026-01-05,ALBRK,149,20652.45896052289,20652.45896052289
2025-04-03,2026-01-05,TRGYO,189,27558.41619222623,27558.41619222623
2026-01-05,2026-02-03,AKSEN,21,6819.695571899414,6819.695571899414
2025-12-02,2026-02-03,GARAN,44,12734.961785561953,12734.961785561953
2025-10-02,2026-02-03,TRCAS,86,30495.16482661501,30495.16482661501
2026-01-05,2026-02-03,VAKBN,21,13570.797592163086,13570.797592163086
2026-02-03,2026-03-03,AKBNK,20,-10108.801322851508,-10108.801322851508
2026-02-03,2026-03-03,ANHYT,20,-5801.43864232721,-5801.43864232721
2025-04-03,2026-03-03,SNGYO,230,28401.594074964523,28401.594074964523
2026-02-03,2026-03-03,TUPRS,20,-522.1874187409752,-522.1874187409752
2025-06-03,2026-04-02,EKGYO,211,35975.2286954977,35975.2286954977
2026-03-03,2026-04-02,TRCAS,21,-12393.094633087947,-12393.094633087947
2026-03-03,2026-04-02,VAKBN,21,-22546.32271194458,-22546.32271194458
2026-04-02,2026-05-05,ANHYT,21,-446.0,-446.0
