entry_date,exit_date,ticker,bars,pnl,pnl_net
2022-04-04,2022-05-13,TCELL,26,-10360.191841614462,-10360.191841614462
2022-04-04,2022-05-25,BAGFS,33,26850.144198944363,26850.144198944363
2022-06-02,2022-06-17,TCELL,11,-10107.510970452584,-10107.510970452584
2022-06-02,2022-06-29,BAGFS,19,-10825.14550672183,-10825.14550672183
2022-04-04,2022-08-08,ANSGR,83,25932.538997108153,25932.538997108153
2022-07-04,2022-08-15,BAGFS,27,31642.557989476514,31642.557989476514
2022-07-04,2022-08-24,TCELL,34,28213.94418977962,28213.94418977962
2022-09-02,2022-09-14,BAGFS,8,-15501.906722850274,-15501.906722850274
2022-07-04,2022-09-29,DOCO,59,-10644.898059376923,-10644.898059376923
2022-10-04,2022-10-10,BAGFS,4,28780.91273398311,28780.91273398311
2022-09-02,2022-11-03,TCELL,44,29075.730988468044,29075.730988468044
2022-09-02,2022-11-04,ANSGR,45,26789.87572842789,26789.87572842789
2022-10-04,2022-11-15,DOCO,30,40446.978069602694,40446.978069602694
2022-11-02,2023-01-11,BAGFS,50,-10297.808079532018,-10297.808079532018
2022-12-02,2023-02-15,ANSGR,49,-5758.757935713188,-5758.757935713188
2023-02-02,2023-02-15,BAGFS,5,-7745.575169379096,-7745.575169379096
2022-12-02,2023-02-15,TCELL,49,344.5512969889577,344.5512969889577
2023-03-02,2023-03-21,BAGFS,13,-10450.727212109707,-10450.727212109707
2022-12-02,2023-04-04,DOCO,83,26783.129092841187,26783.129092841187
2023-03-02,2023-04-04,ANSGR,23,2606.6073183579915,2606.6073183579915
2023-03-02,2023-04-04,TCELL,23,3391.433070170867,3391.433070170867
2023-04-04,2023-04-17,BRSAN,9,28850.55153656006,28850.55153656006
2023-04-04,2023-05-02,ALARK,18,-11603.606872114071,-11603.606872114071
2023-04-04,2023-05-02,ISCTR,18,-11238.303672967599,-11238.303672967599
2023-04-04,2023-05-03,AYGAZ,19,-11641.911685314944,-11641.911685314944
2023-04-04,2023-05-03,FROTO,19,-9787.51337189977,-9787.51337189977
2023-05-03,2023-05-11,BRSAN,6,27930.0,27930.0
2023-04-04,2023-05-16,PGSUS,28,-10792.818450927749,-10792.818450927749
2023-05-03,2023-05-31,AKCNS,19,29134.65355446423,29134.65355446423
2023-04-04,2023-05-31,TTRAK,38,27794.631116565095,27794.631116565095
2023-05-03,2023-06-06,ALARK,23,25789.179121629044,25789.179121629044
