factor,signal_date,date,n_stocks,long_short,t_stat_cross_section,r_squared
roe,2023-03-31,2023-04-30,73,0.010203193743934191,1.1161879483623103,0.01724493650087
roe,2023-04-30,2023-05-31,73,0.0014157897126827782,0.11207459185170332,0.00017688017461181538
roe,2023-05-31,2023-06-30,73,0.009390491517337032,0.6217355092726361,0.005414955845046698
roe,2023-06-30,2023-07-31,73,0.05548567715835982,3.7140111871404065,0.1626754105945395
roe,2023-07-31,2023-08-31,73,-0.034564518095871945,-1.0753274919953089,0.016025333156774346
roe,2023-08-31,2023-09-30,73,-0.006408495508087082,-0.34388499607853784,0.0016628204303427152
roe,2023-09-30,2023-10-31,73,0.012003541961893441,0.9323867363362043,0.012096186848231771
roe,2023-10-31,2023-11-30,73,-0.01378166270343743,-1.171928192085854,0.018976797963186853
roe,2023-11-30,2023-12-31,73,0.04235243130909957,2.7655420095532497,0.09724596886136916
roe,2023-12-31,2024-01-31,73,0.0009917919753061454,0.05201818315475369,3.8109693775045805e-05
roe,2024-01-31,2024-02-29,73,-0.013716247997381617,-0.936819960190003,0.012210080073766894
roe,2024-02-29,2024-03-31,73,0.033644106708255066,1.5485668214974875,0.03267197016868584
roe,2024-03-31,2024-04-30,73,0.03993612125362493,2.9997728442886196,0.11248488026281545
roe,2024-04-30,2024-05-31,73,0.029403380847406912,1.7544364721138157,0.04155141024137188
roe,2024-05-31,2024-06-30,73,0.007876974115586355,0.6109433840380621,0.0052295756321855125
roe,2024-06-30,2024-07-31,73,-0.04751964768863651,-4.314889245327619,0.20775082319442384
roe,2024-07-31,2024-08-31,73,-0.02039153136590546,-1.339135507272589,0.02463529340334869
roe,2024-08-31,2024-09-30,73,-0.030257132142723134,-3.0192802010555226,0.11378559725312509
roe,2024-09-30,2024-10-31,73,0.003993447348682307,0.3687410317649287,0.0019114092154151052
roe,2024-10-31,2024-11-30,73,-0.010031098666696285,-0.9209327954623279,0.011804306732698167
roe,2024-11-30,2024-12-31,73,-0.002673857597484423,-0.24598789432150753,0.0008515284243687526
roe,2024-12-31,2025-01-31,73,0.007025520955533177,0.6026645839690902,0.005089522013515646
roe,2025-01-31,2025-02-28,73,-0.00884728422821205,-1.0691575271659763,0.01584486738816082
roe,2025-02-28,2025-03-31,73,0.0033298142134435935,0.14427185609617768,0.0002930742015072596
roe,2025-03-31,2025-04-30,73,-0.006649437535761234,-0.6462100012004828,0.005847122271346539
roe,2025-04-30,2025-05-31,73,-0.0031720177430934176,-0.2641753996279966,0.0009819733968871036
roe,2025-05-31,2025-06-30,73,0.00999031184133069,0.7709069965559017,0.008300906877825587
