ticker,roe_months,pe_months,annual_income_points,quarterly_income_points
ADEL,39,23,4,5
AEFES,39,39,4,5
AKBNK,39,39,4,5
AKCNS,39,39,4,5
AKENR,39,24,4,5
AKGRT,39,27,4,5
AKSA,39,39,4,5
AKSEN,39,39,4,5
ALARK,39,36,4,5
ALBRK,39,39,4,5
ALKIM,39,24,4,5
ANELE,39,27,4,5
ANHYT,39,39,4,5
ANSGR,51,51,4,4
ARCLK,39,38,4,5
ASELS,39,39,4,5
AYGAZ,39,39,4,5
BAGFS,51,24,3,0
BANVT,39,23,4,5
BIMAS,39,39,4,5
BIZIM,39,24,4,5
BRISA,39,35,4,5
BRSAN,39,28,4,5
CCOLA,39,39,4,5
CIMSA,39,39,4,5
CLEBI,39,39,4,5
DOAS,39,39,4,5
DOCO,48,48,4,5
DOHOL,39,27,4,5
ECILC,39,38,4,5
EKGYO,39,27,4,5
ENKAI,39,39,4,5
EREGL,39,39,4,5
FROTO,39,39,4,5
GARAN,39,39,4,5
GOZDE,39,12,4,5
GUBRF,39,19,4,5
HALKB,39,39,4,5
HURGZ,39,0,4,5
INDES,39,39,4,5
ISCTR,39,39,4,5
ISGYO,39,35,4,5
IZMDC,39,24,4,5
KCHOL,39,39,4,5
KORDS,39,24,4,4
KRDMD,39,24,4,5
MGROS,39,39,4,5
NTHOL,39,39,4,5
OTKAR,39,24,4,5
PETKM,39,12,4,5
PGSUS,39,39,4,5
SAHOL,39,28,4,5
SELEC,39,36,4,5
SISE,39,39,4,5
SKBNK,39,39,4,5
SNGYO,39,39,4,5
TAVHL,39,35,4,5
TCELL,51,51,4,5
THYAO,39,39,4,5
TKFEN,39,23,4,5
TKNSA,39,24,4,5
TMSN,39,31,4,5
TOASO,39,39,4,5
TRCAS,39,39,4,5
TRGYO,39,39,4,5
TSKB,39,39,4,5
TTKOM,39,39,4,5
TTRAK,39,38,4,5
TUPRS,39,39,4,5
ULKER,39,39,4,5
VAKBN,39,39,4,5
VESTL,39,12,4,5
YKBNK,39,39,4,5
