ticker,yahoo_symbol,role,has_price_data,included_in_stock_portfolio
XU100,XU100.IS,index,True,False
XU030,XU030.IS,index,True,False
XBANK,XBANK.IS,index,True,False
XUSIN,XUSIN.IS,index,True,False
AKBNK,AKBNK.IS,stock,True,True
GARAN,GARAN.IS,stock,True,True
ISCTR,ISCTR.IS,stock,True,True
VAKBN,VAKBN.IS,stock,True,True
HALKB,HALKB.IS,stock,True,True
YKBNK,YKBNK.IS,stock,True,True
TSKB,TSKB.IS,stock,True,True
SKBNK,SKBNK.IS,stock,True,True
ALBRK,ALBRK.IS,stock,True,True
AKGRT,AKGRT.IS,stock,True,True
ANHYT,ANHYT.IS,stock,True,True
ANSGR,ANSGR.IS,stock,True,True
EREGL,EREGL.IS,stock,True,True
KRDMD,KRDMD.IS,stock,True,True
IZMDC,IZMDC.IS,stock,True,True
PETKM,PETKM.IS,stock,True,True
TUPRS,TUPRS.IS,stock,True,True
AYGAZ,AYGAZ.IS,stock,True,True
AKENR,AKENR.IS,stock,True,True
AKSEN,AKSEN.IS,stock,True,True
ALKIM,ALKIM.IS,stock,True,True
TOASO,TOASO.IS,stock,True,True
FROTO,FROTO.IS,stock,True,True
DOAS,DOAS.IS,stock,True,True
TTRAK,TTRAK.IS,stock,True,True
TMSN,TMSN.IS,stock,True,True
OTKAR,OTKAR.IS,stock,True,True
TTKOM,TTKOM.IS,stock,True,True
TCELL,TCELL.IS,stock,True,True
ARCLK,ARCLK.IS,stock,True,True
VESTL,VESTL.IS,stock,True,True
BIZIM,BIZIM.IS,stock,True,True
BIMAS,BIMAS.IS,stock,True,True
MGROS,MGROS.IS,stock,True,True
ULKER,ULKER.IS,stock,True,True
GOZDE,GOZDE.IS,stock,True,True
AEFES,AEFES.IS,stock,True,True
CCOLA,CCOLA.IS,stock,True,True
THYAO,THYAO.IS,stock,True,True
PGSUS,PGSUS.IS,stock,True,True
TAVHL,TAVHL.IS,stock,True,True
DOCO,DOCO.IS,stock,True,True
SAHOL,SAHOL.IS,stock,True,True
KCHOL,KCHOL.IS,stock,True,True
TKFEN,TKFEN.IS,stock,True,True
ENKAI,ENKAI.IS,stock,True,True
DOHOL,DOHOL.IS,stock,True,True
SISE,SISE.IS,stock,True,True
TRKCM,TRKCM.IS,stock,False,False
ANACM,ANACM.IS,stock,False,False
SODA,SODA.IS,stock,False,False
TRGYO,TRGYO.IS,stock,True,True
ISGYO,ISGYO.IS,stock,True,True
EKGYO,EKGYO.IS,stock,True,True
SNGYO,SNGYO.IS,stock,True,True
AKFEN,AKFEN.IS,stock,False,False
ALARK,ALARK.IS,stock,True,True
ASELS,ASELS.IS,stock,True,True
YAZIC,YAZIC.IS,stock,False,False
NTHOL,NTHOL.IS,stock,True,True
GUBRF,GUBRF.IS,stock,True,True
CIMSA,CIMSA.IS,stock,True,True
ECILC,ECILC.IS,stock,True,True
AKSA,AKSA.IS,stock,True,True
ADEL,ADEL.IS,stock,True,True
TRCAS,TRCAS.IS,stock,True,True
CLEBI,CLEBI.IS,stock,True,True
BAGFS,BAGFS.IS,stock,True,True
AKCNS,AKCNS.IS,stock,True,True
ANELE,ANELE.IS,stock,True,True
BANVT,BANVT.IS,stock,True,True
BMEKS,BMEKS.IS,stock,False,False
BOLUC,BOLUC.IS,stock,False,False
BRISA,BRISA.IS,stock,True,True
BRSAN,BRSAN.IS,stock,True,True
HURGZ,HURGZ.IS,stock,True,True
INDES,INDES.IS,stock,True,True
KORDS,KORDS.IS,stock,True,True
SELEC,SELEC.IS,stock,True,True
TKNSA,TKNSA.IS,stock,True,True
