step,train_start,train_end,test_start,test_end,best_score_name,best_top_n,best_use_regime_filter,train_sharpe,test_return,test_sharpe
2,2000-08-31,2004-05-31,2004-06-30,2004-11-30,trend_heavy,10,True,-0.8182469565807025,-0.3470076890495908,-0.38732503372845534
3,2001-02-28,2004-11-30,2004-12-31,2005-05-31,price_trend,15,True,-0.4208141164245354,0.028542316925777245,0.30611215827506555
4,2001-11-30,2005-05-31,2005-06-30,2005-11-30,price_trend,15,False,-0.22231724203736272,0.3392942835575017,2.781098231028343
5,2002-11-30,2005-11-30,2005-12-31,2006-05-31,price_trend,15,False,0.22686951164656619,0.15706312524308141,0.8149878115835621
6,2004-06-30,2006-05-31,2006-06-30,2006-11-30,price_trend,15,False,0.7051997663162376,0.05019012189261374,0.4886768431220501
7,2004-12-31,2006-11-30,2006-12-31,2007-05-31,trend_heavy,15,False,1.085929479474756,0.22798458272056377,2.117568440921821
8,2005-06-30,2007-05-31,2007-06-30,2007-11-30,price_trend,15,True,1.4270660341133043,0.1890223985387638,1.5507092495916506
9,2005-12-31,2007-11-30,2007-12-31,2008-05-31,price_trend,10,True,1.3004324666635112,-0.06092190078285886,-0.6579685475645828
10,2006-06-30,2008-05-31,2008-06-30,2008-11-30,price_trend,5,False,1.7079663827056988,-0.5635905076169914,-3.7760288053355002
11,2006-12-31,2008-11-30,2008-12-31,2009-05-31,price_trend,10,True,1.1565876883549153,0.12909516607685667,1.4142135623730947
12,2007-06-30,2009-05-31,2009-06-30,2009-11-30,trend_heavy,5,True,1.1251304542592948,0.3313218492532606,3.352223890125667
13,2007-12-31,2009-11-30,2009-12-31,2010-05-31,price_trend,5,True,1.506556837008236,0.2058069021856479,1.1658455216721786
14,2008-06-30,2010-05-31,2010-06-30,2010-11-30,price_trend,5,True,1.483742360642823,0.2751390244140295,2.356001795035311
15,2008-12-31,2010-11-30,2010-12-31,2011-05-31,price_trend,10,False,2.1775445945712084,0.2984788413172992,3.164815200361467
16,2009-06-30,2011-05-31,2011-06-30,2011-11-30,price_trend,10,False,2.4626536361866656,-0.12610268590926155,-0.966070859346325
17,2009-12-31,2011-11-30,2011-12-31,2012-05-31,price_trend,10,True,1.6458125304788351,0.01236389202954502,0.2265566013374203
18,2010-06-30,2012-05-31,2012-06-30,2012-11-30,price_trend,10,True,1.8542575395710799,0.08318059234679409,1.5229964258335154
19,2010-12-31,2012-11-30,2012-12-31,2013-05-31,price_trend,10,True,1.1421439269299138,0.4437368130437307,4.666278748653792
20,2011-06-30,2013-05-31,2013-06-30,2013-11-30,trend_heavy,15,True,1.697568588548569,-0.07631564412035008,-1.4142135623730951
21,2011-12-31,2013-11-30,2013-12-31,2014-05-31,price_trend,10,False,1.4527148372984449,-0.04744314941085859,-0.32763040452118963
22,2012-06-30,2014-05-31,2014-06-30,2014-11-30,price_trend,10,True,1.587218528155245,0.2615701208770398,4.281065101823312
23,2012-12-31,2014-11-30,2014-12-31,2015-05-31,price_trend,10,True,2.0856204612781766,0.09704187956797439,2.345611761205376
24,2013-06-30,2015-05-31,2015-06-30,2015-11-30,price_trend,10,True,1.5425811389279735,0.00836013878836317,1.414213562373095
25,2013-12-31,2015-11-30,2015-12-31,2016-05-31,price_trend,10,True,2.21060084162606,0.01782047341727866,0.8674982686677364
